                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.03066,                0.95106,                0.99674,                 1.2228,             0.00026868,             0.00026868,             0.00026868
                     65,                0.03841,                0.95269,                0.99837,                 1.2211,             0.00026161,             0.00026161,             0.00026161
                     66,                0.05586,                0.95269,                0.99837,                 1.2183,             0.00025454,             0.00025454,             0.00025454
                     67,                0.03208,                0.94617,                0.99837,                 1.2263,             0.00024747,             0.00024747,             0.00024747
                     68,                0.03476,                 0.9429,                      1,                 1.2239,              0.0002404,              0.0002404,              0.0002404
                     69,                0.05086,                0.95106,                0.99674,                 1.2186,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02517,                0.95269,                      1,                 1.2175,             0.00022627,             0.00022627,             0.00022627
                     71,                0.03535,                0.95106,                      1,                 1.2145,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.0742,                0.95269,                      1,                 1.2172,             0.00021213,             0.00021213,             0.00021213
                     73,                0.03864,                0.95595,                      1,                 1.2131,             0.00020506,             0.00020506,             0.00020506
                     74,                0.04467,                0.95269,                      1,                 1.2147,             0.00019799,             0.00019799,             0.00019799
                     75,                 0.0382,                0.95922,                      1,                 1.2099,             0.00019092,             0.00019092,             0.00019092
                     76,                0.05951,                0.95595,                      1,                 1.2122,             0.00018385,             0.00018385,             0.00018385
                     77,                0.04513,                0.95595,                      1,                 1.2154,             0.00017679,             0.00017679,             0.00017679
                     78,                 0.0512,                0.95432,                      1,                 1.2163,             0.00016972,             0.00016972,             0.00016972
                     79,                0.02358,                0.95759,                      1,                 1.2139,             0.00016265,             0.00016265,             0.00016265
                     80,                 0.0509,                0.96411,                      1,                 1.2098,             0.00015558,             0.00015558,             0.00015558
                     81,                0.04984,                0.96248,                      1,                  1.211,             0.00014851,             0.00014851,             0.00014851
                     82,                0.02919,                0.96248,                      1,                 1.2103,             0.00014144,             0.00014144,             0.00014144
                     83,                0.02788,                0.95759,                      1,                 1.2141,             0.00013437,             0.00013437,             0.00013437
                     84,                0.06866,                0.96411,                0.99837,                 1.2132,             0.00012731,             0.00012731,             0.00012731
                     85,                0.05912,                0.96411,                0.99674,                 1.2096,             0.00012024,             0.00012024,             0.00012024
                     86,                0.02282,                0.95922,                0.99837,                 1.2125,             0.00011317,             0.00011317,             0.00011317
                     87,                0.02942,                0.95595,                0.99837,                 1.2134,              0.0001061,              0.0001061,              0.0001061
                     88,                0.04017,                0.96411,                0.99674,                 1.2096,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.03803,                0.96737,                      1,                 1.2111,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.04943,                0.96248,                      1,                 1.2127,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.04844,                0.96085,                      1,                 1.2114,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.03091,                0.96248,                      1,                 1.2106,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.03328,                0.96085,                      1,                 1.2101,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.03525,                0.96085,                      1,                 1.2107,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.03088,                0.95759,                      1,                  1.213,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.07958,                0.95269,                      1,                 1.2136,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.04649,                0.95595,                      1,                 1.2118,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.05874,                0.95269,                      1,                 1.2126,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.01959,                0.95269,                      1,                 1.2162,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.04639,                0.95269,                      1,                 1.2126,             1.4209e-05,             1.4209e-05,             1.4209e-05
